#,built,q,graph,x,y,enc,why,suggested,demo,nodata,skipped,value
1,True,Is LiveReview adoption increasing?,Layered line + area + target rule,Day,Reviews/day,Area = reviews; line = 7-day rolling avg; rule = target,More informative than a plain line. The rolling average shows whether adoption is genuinely increasing rather than being driven by noisy days.,Is LiveReview adoption increasing since my team started using it?,./adoption_chart.html,,False,1. 2.
2,True,Are engineers actually incorporating reviews into their daily workflow?,Calendar heatmap,Day,Day-of-week,Color = reviews or reviewed LOC,"Gives a very immediate “usage rhythm.” Weekday gaps, isolated users, and sudden changes become visually obvious. Particularly good for a 14–30 day trial.",Are engineers actually incorporating reviews into their daily workflow since my team started using it?,./adoption_heatmap.html,,False,1. 2.
3,True,How broadly has the organization adopted LiveReview?,Histogram / distribution + KPI overlay,Reviews per engineer,Engineer count,Color by adoption band,Shows whether usage is broad or concentrated. “500 reviews” means something very different if one engineer generated 450.,,./adoption_breadth.html,,False,1. 2.
4,True,Who has adopted LiveReview—and who hasn't?,Sorted horizontal bar / dot plot,Reviews or LOC,Engineer,Color = adoption tier,"Rank engineers from highest to lowest. Add a vertical target rule, e.g. 5 reviews/day. This is directly actionable for engineering leaders.",Who has adopted LiveReview the most and least?,./adoption_leaderboard.html,,False,1. 2.
5,True,Is adoption becoming broader over time?,Stacked area chart,Week,Active engineers,Color = 0 reviews / 1–4 / 5+ / heavy users,This is much more interesting than total users. It answers whether the organization is moving from “a few enthusiasts” toward habitual adoption.,,./adoption_growth.html,,False,1. 2.
6,True,Which repositories are gaining or losing engineering velocity?,Slope graph,"Period (Previous, Current)",LOC reviewed,One line per repository; color = gain/loss,Probably one of your strongest CTO charts. It makes period-over-period movement immediately visible. Label only the biggest movers.,,./repo_slope.html,,False,1. 2.
7,True,Where is organizational velocity concentrated?,Pareto / cumulative distribution,Repositories ranked by LOC,LOC reviewed,Layer cumulative % line,Answers “are our top 3 repos responsible for 80% of activity?” This reveals concentration and organizational risk.,,./repo_pareto.html,,False,1. 2.
8,True,Which repositories are unusually active or inactive?,Scatterplot,LOC reviewed,Reviews,Size = active engineers; color = repository,Separates high-volume/high-frequency repos from large-diff/low-frequency repos. Add quadrant rules. Very useful for identifying anomalous teams.,,./repo_scatter.html,,False,1. 2.
9,True,What does engineering activity look like across repositories and days?,Repository × day heatmap,Day,Repository,Color = LOC reviewed,"This is excellent for finding bursts, sustained inactivity, and velocity dips. Add text only for unusually high/low cells.",,./repo_day_heatmap.html,,False,1. 2.
10,True,What happened to a repository's velocity?,Layered line + rolling average + highlighted interval,Day,LOC reviewed,Line = daily LOC; second line = rolling avg; rectangle = selected period,Directly implements your 6.1 idea while using Vega-Lite's layering/annotation capabilities.,,./repo_velocity.html,,False,1. 2.
11,False,Why did this repository's velocity change?,Small-multiple contribution chart,Contributor,Change in LOC,Positive/negative color,"Compare previous vs current period per engineer. It turns “velocity dropped 30%” into “Alice -40%, Bob -20%, Carol +5%.”",,./contributor_change.html,,False,1. 2.
12,False,Which engineers are carrying the repository?,Beeswarm / dot plot,LOC reviewed,—,X = LOC; Y = contributor; point size = reviews,Better than bars when you want to show the distribution and outliers. Particularly useful when there are many engineers.,,./contributor_beeswarm.html,,False,1. 2.
13,False,What does each engineer actually spend their review activity on?,Trellis stacked bars,Engineer,Reviews,Color = repository,Small multiples let a CTO see whether an engineer is concentrated on one repo or spreading across many. Vega-Lite supports trellis/faceted views.,,./engineer_trellis.html,,False,1. 2.
14,False,Where are reviews happening?,Normalized stacked bar,Time period,% of reviews,"Color = trigger: PR/MR, pre-commit, MCP, API, manual",More useful than a pie chart because you can compare periods. The key question is whether activity is migrating toward earlier review stages.,,./trigger_share.html,,False,1. 2.
15,False,Are we moving review earlier in the development lifecycle?,100% stacked area,Day/week,% of reviews,Color = trigger source,Shows the transition between workflows. This is strategically more interesting than simply showing source distribution.,,./trigger_shift.html,,False,1. 2.
16,False,Are serious issues being caught before PR/MR?,Severity × trigger heatmap,Trigger source,Severity,Color = finding count / rate,"Rows = pre-commit, PR/MR, MCP, API; columns = critical/high/medium/low. A leader can immediately see whether serious findings are disproportionately arriving late.",,,ai_comments has 0 rows in this dev DB - no findings to group by severity/trigger yet.,False,1. 2.
17,False,What kinds of engineering problems is LiveReview finding?,Treemap,—,—,Rectangle area = finding count; color = severity,"Excellent for “what is LR actually discovering?” Use hierarchy category → subcategory. Requires reliably extracting category/severity from ai_comments.content, since the schema stores the comment payload as JSON rather than a normalized issue-category column.",,,ai_comments has 0 rows in this dev DB - no category/severity data to build a treemap from.,False,1. 2.
